N,tau,m_tau,N_records,W_over_kT_ln2,neglnP_direct,ledger_neglnP_over_N
6,2.450000000000002,4.716316789324778,589,589,0.8835000000000001,0.0015
6,2.5000000000000018,5.113269292952152,639,639,0.9585,0.0015
6,2.5500000000000016,5.534767125431868,691,691,1.0365,0.0015
6,2.600000000000002,5.981801851945222,747,747,1.1205,0.0015
6,2.650000000000002,6.455384672627584,806,806,1.209,0.0015
6,2.700000000000002,6.956546422568408,869,869,1.3035,0.0015
6,2.7500000000000018,7.4863375718112435,935,935,1.4025,0.0015
6,2.800000000000002,8.045828225353722,1005,1005,1.5075,0.0015
6,2.8500000000000023,8.636108123147556,1079,1079,1.6185,0.0015
6,2.900000000000002,9.258286640098538,1157,1157,1.7355,0.0015
6,2.950000000000002,9.913492786066554,1239,1239,1.8585,0.0015
6,3.000000000000002,10.602875205865583,1325,1325,1.9875,0.0015
6,3.0500000000000025,11.327602179263671,1415,1415,2.1225,0.0015
6,3.1000000000000023,12.08886162098295,1511,1511,2.2665,0.0015
6,3.150000000000002,12.887861080699649,1610,1610,2.415,0.0015
6,3.2000000000000024,13.725827743044086,1715,1715,2.5725000000000002,0.0015
6,3.2500000000000027,14.604008427600647,1825,1825,2.7375000000000003,0.0015000000000000002
6,3.3000000000000025,15.5236695889078,1940,1940,2.91,0.0015
6,3.3500000000000023,16.486097316458117,2060,2060,3.09,0.0015
6,3.4000000000000026,17.49259733469826,2186,2186,3.279,0.0015
6,3.450000000000003,18.544495003028945,2318,2318,3.477,0.0015
6,3.5000000000000027,19.64313531580499,2455,2455,3.6825,0.0015
6,3.5500000000000025,20.7898829023353,2598,2598,3.8970000000000002,0.0015
6,3.6000000000000028,21.986122026882875,2748,2748,4.122,0.0015
6,3.650000000000003,23.233256588664776,2904,2904,4.356,0.0015
6,3.700000000000003,24.53271012185216,3066,3066,4.599,0.0015
6,3.7500000000000027,25.885925795570266,3235,3235,4.8525,0.0015
6,3.800000000000003,27.294366413898445,3411,3411,5.1165,0.0015
6,3.850000000000003,28.759514415870093,3594,3594,5.391,0.0015
6,3.900000000000003,30.282871875472694,3785,3785,5.6775,0.0015
6,3.950000000000003,31.865960501647844,3983,3983,5.9745,0.0015
6,4.0000000000000036,33.510321638291245,4188,4188,6.282,0.0015
8,0.5,0.008181230868723419,1,1,0.0015,0.0015
8,0.55,0.011978140114897961,1,1,0.0015,0.0015
8,0.6000000000000001,0.01696460032938489,2,2,0.003,0.0015
8,0.6500000000000001,0.023366413484160974,2,2,0.003,0.0015
8,0.7000000000000002,0.03142901650528792,3,3,0.0045000000000000005,0.0015000000000000002
8,0.7500000000000002,0.04141748127291236,5,5,0.0075,0.0015
8,0.8000000000000003,0.05361651462126587,6,6,0.009000000000000001,0.0015000000000000002
8,0.8500000000000003,0.06833045833866497,8,8,0.012,0.0015
8,0.9000000000000004,0.08588328916751109,10,10,0.015,0.0015
8,0.9500000000000004,0.10661861880429065,13,13,0.0195,0.0015
8,1.0000000000000004,0.13089969389957493,16,16,0.024,0.0015
8,1.0500000000000005,0.1591093960580202,19,19,0.0285,0.0015
8,1.1000000000000005,0.1916502418383677,23,23,0.0345,0.0015
