model,k,n,rss,R2,AIC,S0,c,p,p_ci95,alpha,measure,N
M_gauss(p=2),2,71,10.821366947120163,0.9069119242779424,-129.56216662290385,1.795497278228504,0.2589522125283506,2.0,,,volume,10
M_quartic(p=4),2,71,0.17713929472166756,0.9984762039619411,-421.5384117558111,1.0665298816087734,0.01784630779623469,4.0,,,volume,10
M_freep,3,71,0.002436130540361351,0.9999790438023849,-723.8817195926165,1.0105355265941847,0.010851358851488004,4.371288655185564,0.010854822201566281,,volume,10
M_power,2,71,51.07540559015375,0.5606367248847126,-19.38575246623548,1.1920053860136388,,,,1.729080108606321,volume,10
M_exp(p=1),2,71,9.650863074748347,0.9479510270583589,-137.689909480331,4.675544251700169,1.535486921529163,1.0,,,area,10
M_gauss(p=2),2,71,0.1592099234454447,0.9991413500602723,-429.1150201462599,1.2040928965713809,0.3432681391461662,2.0,,,area,10
M_quartic(p=4),2,71,10.902681368216365,0.9411997286532401,-129.03064958918728,0.5431733106622119,0.02188282440400016,4.0,,,area,10
M_freep,3,71,0.0056978194464592895,0.9999692705566436,-663.5549641415785,1.076077589388734,0.27162363890251445,2.167156134237512,0.007866902874740086,,area,10
M_power,2,71,39.31480773569112,0.787967630646944,-37.966583579504075,0.8556299565944665,,,,2.5888774403165997,area,10
M_exp(p=1),2,71,7.049124748490543e-05,0.999999616860206,-977.41183362518,1.591416094723646,1.570959758551295,1.0,,,proper,10
M_gauss(p=2),2,71,7.333748578682296,0.9601390098744664,-157.1837093607793,0.3601810106336806,0.33519617908975635,2.0,,,proper,10
M_quartic(p=4),2,71,36.66514110364042,0.8007146261146977,-42.92059190033173,0.15356537679434237,0.020105428436513247,4.0,,,proper,10
M_freep,3,71,6.536883026910515e-05,0.999999644701987,-980.7682872995393,1.5947485805373585,1.5729421766786846,0.9992743597032491,0.0006159819042564053,,proper,10
M_power,2,71,11.719170370782601,0.9363030066524117,-123.90322568404603,0.31265130453617324,,,,2.8111076952241336,proper,10
