N,member,idx,f0,c1,c2,c3,s1,s2,s3,c1_sym,c3_sym,rmse
6,scramble,6,0.04925749812117537,-0.007248830704385013,0.029206657935532638,-0.005538696352134458,2.1212226739453348e-08,3.2468918748470036e-07,1.1860093805447636e-06,,,1.573619649784142e-09
6,scramble,7,0.0919182319248959,0.01676673344793338,0.04628271596788461,-0.0017625020654840628,8.343305251876239e-09,1.277084691033404e-07,4.6648748455385486e-07,,,6.189444064389642e-10
6,scramble,8,0.1094923265102264,-0.011985005354778032,0.04409048723563602,0.0001759767839110303,1.6327181235637918e-08,2.4991526228855207e-07,9.128787062842813e-07,,,1.2112247117460742e-09
6,scramble,9,0.09484786882512765,-0.00015419706005298227,0.04244369944953247,-0.0005508639182658426,1.2685365014918968e-08,1.9417107455202638e-07,7.092589612643362e-07,,,9.410581876834692e-10
6,scramble,10,0.147939497438571,-0.010417461553737087,0.04784354613707962,-5.813015423718947e-05,1.2974346784425154e-08,1.9859443175498983e-07,7.254163922427303e-07,,,9.624961723189306e-10
6,scramble,11,0.14485456676118477,0.00705634452424906,0.04472183801407824,0.000710383448661341,1.9178298598823737e-08,2.9355645995473267e-07,1.072289218877151e-06,,,1.4227335911135205e-09
6,scramble,12,0.11403968266298288,-0.011862720532240387,0.04722926241062417,-0.0003919431273919387,1.3998037952631656e-08,2.1426376518814726e-07,7.826525958335386e-07,,,1.0384382484331777e-09
6,scramble,13,0.16087039054872232,0.016025618445881483,0.04474680481048388,-0.0003544036471450052,1.4190956592951123e-08,2.1721671290765646e-07,7.93438984264663e-07,,,1.0527498323581087e-09
6,scramble,14,0.04485763221451261,-0.03207400700981297,0.030710175224111864,0.004018852306729505,5.6983139124422095e-08,8.722238061044341e-07,3.1860180623448103e-06,,,4.227268948893245e-09
6,scramble,15,0.09694180735153916,-0.0003378612698428004,0.039865505420102795,0.0017539560602847766,1.0513153917470374e-08,1.6092169131004766e-07,5.878071792453468e-07,,,7.799136690805923e-10
6,scramble,16,0.14440207605924069,-0.011520795983874552,0.04267038719592386,-0.00021828767977958937,1.267993994988455e-08,1.9408803470997148e-07,7.089556372380605e-07,,,9.406557316356257e-10
6,scramble,17,0.1305389759340217,-0.003331988164038438,0.039946962185399684,-0.0009450943409228513,4.665129361559687e-09,7.140773481826684e-08,2.608348124986702e-07,,,3.460805563840799e-10
6,scramble,18,0.07393931777101129,-0.004632747385699633,0.04372906211872078,0.0013669968353491302,1.1755741788982618e-08,1.7994161087508107e-07,6.572822461426683e-07,,,8.720945002216377e-10
6,scramble,19,0.07690211579402484,0.037890651377240854,0.047526827886864007,0.0035764493074352957,2.546288452448314e-08,3.8975273029182414e-07,1.4236704270936596e-06,,,1.888952815754401e-09
6,scramble,20,0.05405342314226362,-0.0221562516903898,0.04768158575806558,-0.00023894155526619305,1.0081739954825353e-08,1.5431816728019012e-07,5.636861375046734e-07,,,7.479094152533988e-10
6,scramble,21,0.06261142261958905,0.014509261417871252,0.04704695380426047,0.0015687130443056128,1.8871279816891025e-08,2.8885701561667713e-07,1.0551233098074365e-06,,,1.3999575386963776e-09
6,scramble,22,0.06742376981000155,-0.06644486108482642,0.05232241360751721,0.0004747539550181651,3.8294084006222455e-08,5.861560492527363e-07,2.141083225660422e-06,,,2.840829668796442e-09
6,scramble,23,0.17792307772926774,0.012675130936001993,0.04262051461843772,0.00028967045655694065,1.084274414022743e-08,1.6596662991759375e-07,6.062350935198375e-07,,,8.04364173842668e-10
8,level1_structured,-1,0.046791531616146756,-0.024408706478648463,0.1149745166680962,-0.003505539643478508,2.2912964811188213e-07,3.5072187464284827e-06,1.281100354807051e-05,-2.4134141832158066e-06,-0.0006155051437966819,1.6997881507006535e-08
8,scramble,0,0.10126955540804798,-0.015572072945638511,0.11344854732119468,-9.643878490085873e-05,1.526326405769717e-07,2.3363020139892387e-06,8.533934024234874e-06,,,1.1322984869081817e-08
8,scramble,1,0.004779084658108523,0.6841323328940976,0.16896346053440817,-0.13090122517389807,3.0391643345370203e-05,0.00046519576211108106,0.0016992451825314024,,,2.2545906068670695e-06
8,scramble,2,0.09961533698449446,-0.04650080258858,0.11568592902773943,-0.009985388027312305,1.2722510228309334e-07,1.9473964518361555e-06,7.113358093041213e-06,,,9.438137888942456e-09
8,scramble,3,0.12115319908146299,-0.024497616159195938,0.08318849980724212,-0.005574329342410718,3.4630623872945773e-07,5.300805646434834e-06,1.93625333501831e-05,,,2.5690575006627353e-08
8,scramble,4,0.04825064588933211,-0.006781512843024265,0.11316744760652028,-0.00031705754336373805,1.4009984806272914e-07,2.1444663209077963e-06,7.833205634477153e-06,,,1.0393245204815532e-08
8,scramble,5,0.15286601515040638,0.010124360587039262,0.11026646438613634,-4.7354434247821425e-05,1.5165485688342114e-07,2.321335372490719e-06,8.47926458066638e-06,,,1.1250448418651185e-08
8,scramble,6,0.09620200707238662,0.002879398562854405,0.08184117948868536,-0.0017648365667888158,3.7278607433919714e-07,5.70612454173325e-06,2.084306313209526e-05,,,2.7654969888426248e-08
8,scramble,7,0.013525166472439957,0.2645153845035921,0.19310040079060897,0.0715940529972714,2.5321385678097763e-06,3.875868499235251e-05,0.0001415759001234856,,,1.878455786478372e-07
8,scramble,8,0.01769412196255707,0.04367579351661005,0.15062255308781797,0.013710768541423323,1.0901575787055928e-07,1.6686714827626298e-06,6.095244645919334e-06,,,8.087285735172338e-09
8,scramble,9,0.09118152145165391,-0.007946432967753849,0.1248194294328251,-0.003368611794147317,2.2286795038460437e-07,3.4113728188737314e-06,1.2460902055478288e-05,,,1.6533360233229747e-08
