N,tau,A1,M1_fwd,M1_bwd,S1,band_mean,band_std,A2a,M2a_fwd,M2a_bwd,S2a,A2b,M2b_fwd,M2b_bwd,S2b,S2b_input,included
6,0.55,0.0004804982021184394,0.025487153714172633,0.025006655512054193,1.0,0.00027260816049762027,0.0018671642614958956,0.0006850279549414744,0.025691683467001545,0.02500665551206007,1.0080248173304334,0.0004738879827313018,0.025480543494785495,0.025006655512054193,0.9997406450535329,0.9978462574183826,True
6,0.6000000000000001,0.000553685393171837,0.025487153714172633,0.024933468321000796,1.0,0.000311945316499604,0.0020603089631456802,0.000758215145993793,0.025691683467001545,0.024933468321007752,1.0080248173304334,0.0005470751737846995,0.025480543494785495,0.024933468321000796,0.9997406450535329,0.9969510295208277,True
6,0.6500000000000001,0.0006321798133501894,0.025487153714172633,0.024854973900822443,1.0,0.0003508142129518342,0.002259942531355628,0.0008367095661712294,0.025691683467001545,0.024854973900830316,1.0080248173304334,0.0006255695939630518,0.025480543494785495,0.024854973900822443,0.9997406450535329,0.9958028782116083,True
6,0.7000000000000002,0.0007159904861511815,0.025487153714172633,0.02477116322802145,1.0,0.00038950294099064295,0.0024657456968701337,0.0009205202389714132,0.025691683467001545,0.024771163228030132,1.0080248173304334,0.0007006216328191983,0.02547178486084065,0.02477116322802145,0.9993969960904878,0.99435874898176,True
6,0.7500000000000002,0.0008048410859332819,0.02548687197815498,0.024682030892221696,0.9999889459599604,0.00042786958401856354,0.0026774028206400825,0.0010096525747704324,0.025691683467001545,0.024682030892231113,1.0080359602002988,0.0007894724024892184,0.025471503294710915,0.024682030892221696,0.9993969960904878,0.9925725740464971,True
6,0.8000000000000003,0.0008952648488294822,0.025482840009465872,0.02458757516063639,0.9998307498453873,0.0004646613020284584,0.002893138792756922,0.0011041083063549652,0.025691683467001545,0.02458757516064658,1.0081954545669987,0.0008577658869805167,0.025445341047616907,0.02458757516063639,0.9985284622186916,0.990395448548004,True
6,0.8500000000000003,0.0009862969166807775,0.025474094958482747,0.02448779804180197,0.9994876338159869,0.000499509362642027,0.0031123448207821787,0.0012038854251886257,0.025691683467001545,0.02448779804181292,1.0085415599209087,0.0009488108235047345,0.025436608865306704,0.02448779804180197,0.9985284622186917,0.9877758469797736,True
6,0.9000000000000004,0.0010779924183395469,0.025460697766763327,0.02438270534842378,0.9989619889413311,0.000532390033245499,0.003334823702379828,0.0013089781185661419,0.025691683467001545,0.024382705348435403,1.0090722454802377,0.0010003635024695527,0.025383068850893333,0.02438270534842378,0.9969510295208275,0.9846598848069902,True
6,0.9500000000000004,0.0011704050545371311,0.025442711813710946,0.024272306759173815,0.9982563019409667,0.0005632929766915181,0.0035604018533493655,0.0014184268086782567,0.02569073356786424,0.024272306759185982,1.0097482436608678,0.0010928309773070334,0.025365137736480848,0.024272306759173815,0.9969510295208275,0.9809916301750992,True
6,1.0000000000000004,0.0012635869758878433,0.025420202855162752,0.02415661587927491,0.9973731527748957,0.0005923386096923002,0.0037888432531918296,0.0015256105044820778,0.025682226383769748,0.02415661587928767,1.010307688341432,0.0011201852306472852,0.025276801109922194,0.02415661587927491,0.9943587489817598,0.9767134703747672,True
6,1.0500000000000005,0.0013575886625353632,0.025393238962237562,0.0240356502997022,0.9963152122442434,0.0006195426651386553,0.004019995121483791,0.0016285177733814868,0.02566416807309707,0.024035650299715584,1.0106693404201965,0.0012143390273832225,0.02524998932708542,0.0240356502997022,0.9943587489817598,0.9717665373427244,True
6,1.1000000000000005,0.0014524588055444924,0.025361890460373314,0.02390943165482882,0.9950852395993648,0.0006449108357686578,0.004253667171224158,0.0017262198824993143,0.02563565153734202,0.023909431654842706,1.0107941904960296,0.0012088692236979504,0.025118300878526772,0.02390943165482882,0.990395448548004,0.9660911959010319,True
6,1.1500000000000006,0.001548244190132473,0.02532622986847363,0.023777985678341156,0.9936860801522329,0.0006690165207893711,0.004488223514717257,0.0018177655916762937,0.02559575127003182,0.023777985678355526,1.0106419867053997,0.0013049971122756389,0.025082982790616794,0.023777985678341156,0.990395448548004,0.9596275976493304,True
6,1.2000000000000006,0.001644989580828482,0.025286331838075573,0.02364134225724709,0.9921206628896585,0.0006924967688963076,0.004721989852506261,0.0019021831148034428,0.025543525372065345,0.023641342257261902,1.0101712472823954,0.0012570943376237244,0.024898436594870815,0.02364134225724709,0.98465988480699,0.9523163024046885,True
6,1.2500000000000007,0.0017427376086384186,0.0252422730924394,0.02349953548380098,0.9903919980834477,0.0007154465933566974,0.004954580788818449,0.0019784822590392555,0.025478017742855283,0.023499535483816027,1.0093392797690037,0.0013555182316669807,0.02485505371546796,0.02349953548380098,0.98465988480699,0.9440989678141031,True
6,1.3000000000000007,0.0018415286602857066,0.02519413236545548,0.023352603705169773,0.988503174893389,0.0007378829003566413,0.005185923919776147,0.0020456567361959305,0.02539826044138098,0.02335260370518505,1.00810220701251,0.0012548447505754852,0.024607448455745258,0.023352603705169773,0.976713470374767,0.934919106232788,True
